GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
8600000US12885,12885,ZCTA5 12885,$50.0+,$***
8600000US12886,12886,ZCTA5 12886,$-,$**
8600000US12911,12911,ZCTA5 12911,$-,$**
8600000US12914,12914,ZCTA5 12914,$50.0+,$***
8600000US12922,12922,ZCTA5 12922,$-,$**
8600000US12924,12924,ZCTA5 12924,$-,$**
8600000US12927,12927,ZCTA5 12927,$-,$**
8600000US12933,12933,ZCTA5 12933,$-,$**
8600000US12936,12936,ZCTA5 12936,$10.0-,$***
8600000US12939,12939,ZCTA5 12939,$50.0+,$***
8600000US12943,12943,ZCTA5 12943,$50.0+,$***
8600000US12945,12945,ZCTA5 12945,$50.0+,$***
8600000US12950,12950,ZCTA5 12950,$50.0+,$***
8600000US12955,12955,ZCTA5 12955,$50.0+,$***
8600000US12960,12960,ZCTA5 12960,$-,$**
8600000US12961,12961,ZCTA5 12961,$-,$**
8600000US12964,12964,ZCTA5 12964,$-,$**
8600000US12965,12965,ZCTA5 12965,$50.0+,$***
8600000US12969,12969,ZCTA5 12969,$50.0+,$***
8600000US12973,12973,ZCTA5 12973,$-,$**
8600000US12977,12977,ZCTA5 12977,$-,$**
8600000US12978,12978,ZCTA5 12978,$-,$**
8600000US12987,12987,ZCTA5 12987,$-,$**
8600000US12996,12996,ZCTA5 12996,$50.0+,$***
8600000US13020,13020,ZCTA5 13020,$10.0-,$***
8600000US13024,13024,ZCTA5 13024,$-,$**
8600000US13051,13051,ZCTA5 13051,$-,$**
8600000US13062,13062,ZCTA5 13062,$-,$**
8600000US13064,13064,ZCTA5 13064,$-,$**
8600000US13103,13103,ZCTA5 13103,$50.0+,$***
8600000US13111,13111,ZCTA5 13111,$50.0+,$***
8600000US13115,13115,ZCTA5 13115,$50.0+,$***
8600000US13123,13123,ZCTA5 13123,$-,$**
8600000US13124,13124,ZCTA5 13124,$-,$**
8600000US13134,13134,ZCTA5 13134,$-,$**
8600000US13138,13138,ZCTA5 13138,$-,$**
8600000US13153,13153,ZCTA5 13153,$-,$**
8600000US13162,13162,ZCTA5 13162,$-,$**
8600000US13290,13290,ZCTA5 13290,$-,$**
8600000US13301,13301,ZCTA5 13301,$-,$**
8600000US13305,13305,ZCTA5 13305,$-,$**
8600000US13310,13310,ZCTA5 13310,$-,$**
8600000US13318,13318,ZCTA5 13318,$50.0+,$***
8600000US13331,13331,ZCTA5 13331,$-,$**
8600000US13333,13333,ZCTA5 13333,$-,$**
8600000US13337,13337,ZCTA5 13337,$-,$**
8600000US13341,13341,ZCTA5 13341,$-,$**
8600000US13342,13342,ZCTA5 13342,$50.0+,$***
8600000US13352,13352,ZCTA5 13352,$-,$**
8600000US13353,13353,ZCTA5 13353,$-,$**
8600000US13362,13362,ZCTA5 13362,$-,$**
8600000US13364,13364,ZCTA5 13364,$50.0+,$***
8600000US13404,13404,ZCTA5 13404,$50.0+,$***
8600000US13415,13415,ZCTA5 13415,$-,$**
8600000US13418,13418,ZCTA5 13418,$10.0-,$***
8600000US13433,13433,ZCTA5 13433,$50.0+,$***
8600000US13436,13436,ZCTA5 13436,$10.0-,$***
8600000US13441,13441,ZCTA5 13441,$-,$**
8600000US13450,13450,ZCTA5 13450,$-,$**
8600000US13469,13469,ZCTA5 13469,$50.0+,$***
8600000US13472,13472,ZCTA5 13472,$-,$**
8600000US13475,13475,ZCTA5 13475,$-,$**
8600000US13483,13483,ZCTA5 13483,$50.0+,$***
8600000US13484,13484,ZCTA5 13484,$-,$**
8600000US13485,13485,ZCTA5 13485,$50.0+,$***
8600000US13486,13486,ZCTA5 13486,$50.0+,$***
8600000US13488,13488,ZCTA5 13488,$-,$**
8600000US13490,13490,ZCTA5 13490,$-,$**
8600000US13494,13494,ZCTA5 13494,$-,$**
8600000US13602,13602,ZCTA5 13602,$50.0+,$***
8600000US13613,13613,ZCTA5 13613,$50.0+,$***
8600000US13614,13614,ZCTA5 13614,$50.0+,$***
8600000US13621,13621,ZCTA5 13621,$-,$**
8600000US13623,13623,ZCTA5 13623,$-,$**
8600000US13633,13633,ZCTA5 13633,$-,$**
8600000US13639,13639,ZCTA5 13639,$50.0+,$***
8600000US13640,13640,ZCTA5 13640,$50.0+,$***
8600000US13641,13641,ZCTA5 13641,$-,$**
8600000US13643,13643,ZCTA5 13643,$-,$**
8600000US13647,13647,ZCTA5 13647,$-,$**
8600000US13650,13650,ZCTA5 13650,$50.0+,$***
8600000US13651,13651,ZCTA5 13651,$-,$**
8600000US13661,13661,ZCTA5 13661,$50.0+,$***
8600000US13664,13664,ZCTA5 13664,$10.0-,$***
8600000US13665,13665,ZCTA5 13665,$50.0+,$***
8600000US13670,13670,ZCTA5 13670,$50.0+,$***
8600000US13674,13674,ZCTA5 13674,$-,$**
8600000US13675,13675,ZCTA5 13675,$-,$**
8600000US13677,13677,ZCTA5 13677,$-,$**
8600000US13678,13678,ZCTA5 13678,$50.0+,$***
8600000US13687,13687,ZCTA5 13687,$50.0+,$***
8600000US13692,13692,ZCTA5 13692,$-,$**
8600000US13693,13693,ZCTA5 13693,$-,$**
8600000US13695,13695,ZCTA5 13695,$10.0-,$***
8600000US13696,13696,ZCTA5 13696,$-,$**
8600000US13697,13697,ZCTA5 13697,$50.0+,$***
8600000US13756,13756,ZCTA5 13756,$-,$**
8600000US13774,13774,ZCTA5 13774,$-,$**
8600000US13777,13777,ZCTA5 13777,$50.0+,$***
8600000US13784,13784,ZCTA5 13784,$50.0+,$***
8600000US13794,13794,ZCTA5 13794,$-,$**
8600000US13797,13797,ZCTA5 13797,$50.0+,$***
8600000US13806,13806,ZCTA5 13806,$-,$**
8600000US13813,13813,ZCTA5 13813,$50.0+,$***
8600000US13826,13826,ZCTA5 13826,$-,$**
8600000US13834,13834,ZCTA5 13834,$-,$**
8600000US13843,13843,ZCTA5 13843,$50.0+,$***
8600000US13844,13844,ZCTA5 13844,$50.0+,$***
8600000US13845,13845,ZCTA5 13845,$-,$**
8600000US13859,13859,ZCTA5 13859,$-,$**
8600000US13860,13860,ZCTA5 13860,$-,$**
8600000US13902,13902,ZCTA5 13902,$-,$**
8600000US14035,14035,ZCTA5 14035,$-,$**
8600000US14039,14039,ZCTA5 14039,$-,$**
8600000US14082,14082,ZCTA5 14082,$10.0-,$***
8600000US14109,14109,ZCTA5 14109,$-,$**
